alias,code,emoji
"girl","\U0001f467","👧"
"child","\U0001f9d2","🧒"
"boy","\U0001f466","👦"
"woman","\U0001f469","👩"
"adult","\U0001f9d1","🧑"
"man","\U0001f468","👨"
"person_curly_hair","\U0001f9d1\u200d\U0001f9b1","🧑‍🦱"
"woman_curly_haired","\U0001f469\u200d\U0001f9b1","👩‍🦱"
"man_curly_haired","\U0001f468\u200d\U0001f9b1","👨‍🦱"
"person_red_hair","\U0001f9d1\u200d\U0001f9b0","🧑‍🦰"
"woman_red_haired","\U0001f469\u200d\U0001f9b0","👩‍🦰"
"man_red_haired","\U0001f468\u200d\U0001f9b0","👨‍🦰"
"blond_haired_woman","\U0001f471\u200d\u2640\ufe0f","👱‍♀️"
"blond_haired_person","\U0001f471","👱"
"person_with_blond_hair","\U0001f471","👱"
"blond_haired_man","\U0001f471\u200d\u2642\ufe0f","👱‍♂️"
"person_white_hair","\U0001f9d1\u200d\U0001f9b3","🧑‍🦳"
"woman_white_haired","\U0001f469\u200d\U0001f9b3","👩‍🦳"
"man_white_haired","\U0001f468\u200d\U0001f9b3","👨‍🦳"
"person_bald","\U0001f9d1\u200d\U0001f9b2","🧑‍🦲"
"woman_bald","\U0001f469\u200d\U0001f9b2","👩‍🦲"
"man_bald","\U0001f468\u200d\U0001f9b2","👨‍🦲"
"bearded_person","\U0001f9d4","🧔"
"man_beard","\U0001f9d4\u200d\u2642\ufe0f","🧔‍♂️"
"woman_beard","\U0001f9d4\u200d\u2640\ufe0f","🧔‍♀️"
"older_woman","\U0001f475","👵"
"grandma","\U0001f475","👵"
"older_adult","\U0001f9d3","🧓"
"older_man","\U0001f474","👴"
"man_with_chinese_cap","\U0001f472","👲"
"man_with_gua_pi_mao","\U0001f472","👲"
"person_wearing_turban","\U0001f473","👳"
"man_with_turban","\U0001f473","👳"
"woman_wearing_turban","\U0001f473\u200d\u2640\ufe0f","👳‍♀️"
"man_wearing_turban","\U0001f473\u200d\u2642\ufe0f","👳‍♂️"
"woman_with_headscarf","\U0001f9d5","🧕"
"police_officer","\U0001f46e","👮"
"cop","\U0001f46e","👮"
"woman_police_officer","\U0001f46e\u200d\u2640\ufe0f","👮‍♀️"
"man_police_officer","\U0001f46e\u200d\u2642\ufe0f","👮‍♂️"
"construction_worker","\U0001f477","👷"
"woman_construction_worker","\U0001f477\u200d\u2640\ufe0f","👷‍♀️"
"man_construction_worker","\U0001f477\u200d\u2642\ufe0f","👷‍♂️"
"guard","\U0001f482","💂"
"guardsman","\U0001f482","💂"
"woman_guard","\U0001f482\u200d\u2640\ufe0f","💂‍♀️"
"man_guard","\U0001f482\u200d\u2642\ufe0f","💂‍♂️"
"detective","\U0001f575\ufe0f","🕵️"
"spy","\U0001f575\ufe0f","🕵️"
"sleuth_or_spy","\U0001f575\ufe0f","🕵️"
"woman_detective","\U0001f575\ufe0f\u200d\u2640\ufe0f","🕵️‍♀️"
"man_detective","\U0001f575\ufe0f\u200d\u2642\ufe0f","🕵️‍♂️"
"health_worker","\U0001f9d1\u200d\u2695\ufe0f","🧑‍⚕️"
"woman_health_worker","\U0001f469\u200d\u2695\ufe0f","👩‍⚕️"
"man_health_worker","\U0001f468\u200d\u2695\ufe0f","👨‍⚕️"
"farmer","\U0001f9d1\u200d\U0001f33e","🧑‍🌾"
"woman_farmer","\U0001f469\u200d\U0001f33e","👩‍🌾"
"man_farmer","\U0001f468\u200d\U0001f33e","👨‍🌾"
"cook","\U0001f9d1\u200d\U0001f373","🧑‍🍳"
"woman_cook","\U0001f469\u200d\U0001f373","👩‍🍳"
"man_cook","\U0001f468\u200d\U0001f373","👨‍🍳"
"student","\U0001f9d1\u200d\U0001f393","🧑‍🎓"
"woman_student","\U0001f469\u200d\U0001f393","👩‍🎓"
"man_student","\U0001f468\u200d\U0001f393","👨‍🎓"
"singer","\U0001f9d1\u200d\U0001f3a4","🧑‍🎤"
"woman_singer","\U0001f469\u200d\U0001f3a4","👩‍🎤"
